"Multifold_k","OOB_Accuracy","test_Accuracy","Accuracy"
2,0.977276793701914,0.977906477906478,0.979407979407979
3,0.979157651810183,0.988202488202488,0.988202488202488
4,0.978349987189342,0.986915486915487,0.988416988416988
5,0.97905477980666,0.992706992706993,0.992706992706993
6,0.981242471175357,0.993350493350493,0.993993993993994
7,0.982667039418507,0.993993993993994,0.993993993993994
8,0.984192553425865,0.993564993564994,0.993993993993994
9,0.985330206685936,0.993993993993994,0.993993993993994
10,0.987699143817059,0.993779493779494,0.994422994422994
11,0.988497056758654,0.994851994851995,0.994851994851995
12,0.989499192245557,0.994851994851995,0.994208494208494
13,0.990321539950532,0.994422994422994,0.994422994422994
14,0.990276658608649,0.994637494637495,0.994422994422994
15,0.990927148762549,0.994208494208494,0.994208494208494
16,0.991359879789632,0.993993993993994,0.994637494637495
17,0.991308080266123,0.994422994422994,0.994422994422994
18,0.991577705058741,0.994422994422994,0.994422994422994
19,0.991847243080884,0.994422994422994,0.994422994422994
20,0.992330383480826,0.993993993993994,0.994851994851995
21,0.992598948836211,0.993993993993994,0.993993993993994
22,0.992438461950984,0.994637494637495,0.994637494637495
23,0.992867485386389,0.994208494208494,0.994208494208494
24,0.992545717809835,0.994422994422994,0.995066495066495
25,0.992974741245241,0.994637494637495,0.994637494637495
26,0.993028369174666,0.994422994422994,0.994637494637495
27,0.993189252962943,0.994637494637495,0.994637494637495
28,0.993403764680646,0.995280995280995,0.995280995280995
29,0.993564648468923,0.994851994851995,0.994851994851995
30,0.993618276398348,0.995709995709996,0.995709995709996
31,0.993779160186625,0.995495495495496,0.995495495495496
32,0.993779160186625,0.995495495495496,0.995066495066495
33,0.993457392610071,0.995280995280995,0.995280995280995
34,0.993618276398348,0.995495495495496,0.994851994851995
35,0.993457392610071,0.995066495066495,0.995066495066495
36,0.993457392610071,0.995495495495496,0.995066495066495
37,0.9937255322572,0.995066495066495,0.995066495066495
38,0.9937255322572,0.994851994851995,0.994637494637495
39,0.993457392610071,0.994851994851995,0.994851994851995
40,0.994154555692605,0.994637494637495,0.994637494637495
