"k","OOB_Accuracy","test_Accuracy","Accuracy","Time_taken"
1,0.99544162599882,0.994422994422994,0.994851994851995,11.91
2,0.9958170215048,0.995709995709996,0.995709995709996,22.05
3,0.996406928728482,0.995709995709996,0.995280995280995,32
4,0.996138789081354,0.995924495924496,0.995924495924496,42.77
5,0.996246044940205,0.996138996138996,0.996353496353496,55.92
6,0.996138789081354,0.996138996138996,0.996138996138996,66.07
7,0.996192417010779,0.996353496353496,0.996353496353496,76.58
8,0.996192417010779,0.996353496353496,0.996353496353496,88.79
9,0.996031533222502,0.996567996567997,0.996567996567997,100.86
10,0.996246044940205,0.996782496782497,0.996782496782497,112.18
11,0.996192417010779,0.996353496353496,0.996567996567997,124.68
